tweet,label,,,,,
$RESERVED$ $MENTION$: GAMEDAY] Fan ejected from Kyle Field for vaping. #BTHOkentucky,6,,,,,
$MENTION$ What is your stance on vaping?,6,,,,,
Nicotine stans are getting brave,6,,,,,
PULSE X BF Kit l by Tony B. and Vandy Vape l Alex VapersMD review 🚭🔞 – Alex from VapersMD $URL$ $URL$,6,,,,,
$RESERVED$ $MENTION$: FDA Takes $NUMBER$s of Documents from JUUL E-Cig Maker in Surprise Inspection $URL$,6,,,,,
$RESERVED$ $MENTION$: It boggles my mind that the FDA is coming down harsher on juul than it does on multi billion dollar cigarette corporat…,6,,,,,
"$RESERVED$ $MENTION$: Yet another study that completely disregards the fact that the ""particulate matter"" in e-cig aerosol is essentially liquid dr…",6,,,,,
New favorite thing to do is shittint and vaping at the same time 👍👍,6,,,,,
i’ve been craving a smoke for days and my brother in law gives me a fucking e-cig well fuck,6,,,,,
$MENTION$ $MENTION$ this how you and your vape friends kick it huh!,6,,,,,
$MENTION$ I’ll mail you a vape pen,6,,,,,
"$RESERVED$ $MENTION$: $NUMBER$ years ago, i would never have thought that people today would suck on USB flash drive to substitute the nicotine intake from…",6,,,,,
$RESERVED$ $MENTION$: $NUMBER$min after leaving house..We think the vape battery exploded out the end while it was charging on the wall and shot all…,6,,,,,
$RESERVED$ $MENTION$: Locals when their mango juul pods run out at $NUMBER$ AM and the tobacco stores are all closed $URL$,6,,,,,
"$RESERVED$ $MENTION$: Our New Vape Lounge opens today in Rainham Essex so if you are local please pop in and say hello. $NUMBER$ Mungo Park Rd, Rain…",6,,,,,
$RESERVED$ $MENTION$: What vape would Snape vape if Snape could vape vape.,6,,,,,
"$RESERVED$ $MENTION$: What's a ""Faris""? 😜 $URL$ #wotofo #vape #vapelife #ecig #RDA $URL$",6,,,,,
"$RESERVED$ $MENTION$: Why are juuls a trend??? Y’all realize they’re for people who are trying to quit smoking, right??",6,,,,,
"$RESERVED$ $MENTION$: kids who are addicted to juuls, sourins, etc and call smoking cigarettes ugly like dude what its the same concept",6,,,,,
An In-Depth Look: Alt Zero Vape Juice - $URL$,6,,,,,
"Apple iPhone $NUMBER$ Plus (Rose Gold, $NUMBER$GB) Silicon Valley Investors Shunned Juul, but Back Other Nicotine Start-Ups… $URL$",6,,,,,
At work! $NUMBER$thheaven Mumbles Clockinent Album Release ! Tap in Kc! It's dj258 not $NUMBER$/7! Oh! What's in your vape? $URL$,6,,,,,
E-cig users also have a high chance of developing asthma from inhalation exposure.,6,,,,,
First $NUMBER$ hours of no cigs down. Using a vape for a little while just to get used to not having real cigarettes and… $URL$,6,,,,,
I heard that Tom Wilson was seen vaping in the alley behind Pizza Milano. Can anyone confirm?,6,,,,,
I want a cigarette smh juuling isn’t the same,6,,,,,
Is #Brexit a victory for vaping? Stop by Hall $NUMBER$a inside the secure zone at #CPC18 to hear our $MENTION$ give his thoughts. $NUMBER$0pm start!,6,,,,,
I’ve been smoking my #Juul at my desk all month. Didn’t realize how rude it was until typing it out just now.,6,,,,,
Justin dropped his vape in his tea again last night 😭🤦🏽‍♂️,6,,,,,
“Why does your lotion have a clock?” “That’s my vape you fucking idiot.”,6,,,,,
$MENTION$ Lol vape.,6,,,,,
$MENTION$ We get it u vape,6,,,,,
Stanky Twist Vape-Pen-Battery $NUMBER$ Thread Variable Voltage With USB Charger $URL$,6,,,,,
Study on vaping with youth in Taiwan $URL$,6,,,,,
"Teenagers who use e-cigarettes more likely to start smoking, study finds $URL$",6,,,,,
That buzzing feeling when coming home after running an interesting focus group about vaping and weight management… $URL$,6,,,,,
The Electronic Cigarette Company Uk Ltd - $URL$,6,,,,,
The nurse asked if I vape and I lol’d,6,,,,,
UM adds e-cigarettes to tobacco-free policy $URL$,6,,,,,
V JUICE E-LIQUID CLOUD CHASING HIGH VG $NUMBER$ml SHORTFILL $NUMBER$MG £16.99 $URL$ … … … … … … … … #vjuice… $URL$,6,,,,,
WILL THE FDA FLAVOR BAN DESTROY VAPING / And what can we do about it: $URL$ via $MENTION$,6,,,,,
You weren’t cool in high school if you didn’t have your vape mod on atleast $NUMBER$ chucking clouds in the bathroom,6,,,,,
fml my vape is broke and my tongue ring fell out and grew in😩😩,6,,,,,
lmaoo the kid next to me is smoking his juul i’m weak wtf,6,,,,,
my brother really bought his whole vape kit to a theme park... when i say i hate men,6,,,,,
my manager stays vaping here woah,6,,,,,
peak trash: the room service guy seeing your lokos and vape smoke upon delivery,6,,,,,
people really out here smoking usbs,6,,,,,
someone left a vape pen in my car and I can’t figure out who’s it is,6,,,,,
😢my vape stopped working Friday so I took it back and all he would do is send it back to the company!!! I’m furious.,6,,,,,
$MENTION$ IT’S YOUR CHOICE IF YOU WANT ONE 🤷🏻‍♀️ GET YA VAPE IF YOU NEED TO,6,,,,,
$MENTION$ Yea thats just the behaviour of the Metalist .Vaping I mean. $URL$,6,,,,,
$MENTION$ You vape bro?,6,,,,,
$MENTION$ fuck a vape get lung cancer the old fashioned way bro,6,,,,,
$MENTION$ is this about your vape ?,6,,,,,
$MENTION$ madaming juice pa tas upgrade ng vape,6,,,,,
$MENTION$ vape what now,6,,,,,
$NUMBER$ flags did not let me in cuz of my vape pen. Now I gotta walk all the way back to the car grrrrrrrr,6,,,,,
$NUMBER$% Off E-Liquid Coupon - We fixed our broken coupon. Sorry For The Trouble.: $URL$,6,,,,,
$NUMBER$ML V'S E-Juice $11.49 - $URL$ $URL$,6,,,,,
$RESERVED$ $MENTION$: #Vaping Is Safer For Your Teeth $URL$ #VapeT-Shirts $URL$,6,,,,,
$RESERVED$ $MENTION$: $DRUS News... BIG news !!! GRAB $DRUS SHARE WHILE YOU CAN!!! $URL$ $NSAV $MSPC $BIOAQ $VAPE $CELZ…,6,,,,,
$RESERVED$ $MENTION$: $MENTION$ $MENTION$ 🤣 niggas smoking USB flash drives,6,,,,,
"$RESERVED$ $MENTION$: $MENTION$ Sorry, but smoking's not allowed on our planes, including the use of vaporizers. *HWG",6,,,,,
"$RESERVED$ $MENTION$: $MENTION$ junior year of high school at one of the smoking spots on campus. white owl mango flavored, took two fucking hi…",6,,,,,
$RESERVED$ $MENTION$: FDA made surprise visit to Juul as CDC finds vape maker dominates market Bart don’t do drugs. $URL$,6,,,,,
$RESERVED$ $MENTION$: Firehouse Vape snapbacks available online at $URL$ grab yours now. #firehousevape #snapback #nosmoke…,6,,,,,
$RESERVED$ $MENTION$: Five members of SALT are attending the $MENTION$ Vaping Summit today. $URL$,6,,,,,
$RESERVED$ $MENTION$: Gala maya!! Vape shop pufflyfe. Tom swimming over nghtt,6,,,,,
"$RESERVED$ $MENTION$: Gotta meet millennials where they’re at: talk about eating ass, polyamory, vaping, astrology etc. $URL$",6,,,,,
$RESERVED$ $MENTION$: Great Swaptober Giveaway $URL$ #stoptober #quitsmoking #smokefree #vaping #vapers $URL$,6,,,,,
"$RESERVED$ $MENTION$: Happy Thursday~ USONICIG Rhythm UltraSonic Kit here! Main features: $NUMBER$. Ultrasonic Vape, Designed For NicSalt $NUMBER$. One Rhythm P…",6,,,,,
"$RESERVED$ $MENTION$: Happy freaking birthday to the vape queen herself! 🎉 I don’t know what I’d do without you Ji, you’re my soulmate and I…",6,,,,,
